Adresse IP,Occurrences
184.107.43.74,82
192.168.190.130,12
130.190.168.192,1

Port,Occurrences
50019,8
50245,4
58466,2
53220,2
74,1
2465,1
2466,1
2467,1
2468,1
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,1
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,1
2500,1
2501,1
2502,1
2503,1
2504,1
2505,1
2506,1
2507,1
2508,1
2509,1
2510,1
2511,1
2512,1
2513,1
2514,1
2515,1
2516,1
2517,1
2518,1
2519,1
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2534,1
2535,1
2536,1
2537,1
2538,1
2539,1
2540,1
2541,1
2542,1
2543,1
2544,1
2545,1

Logs suspects
"11:42:04.766656 IP BP-Linux8.ssh > 192.168.190.130.50019: Flags [P.], seq 2243505564:2243505672, ack 1972915080, win 312, options [nop,nop,TS val 102917262 ecr 377952805], length 108"
"11:42:04.766694 IP BP-Linux8.ssh > 192.168.190.130.50019: Flags [P.], seq 108:144, ack 1, win 312, options [nop,nop,TS val 102917262 ecr 377952805], length 36"
"11:42:04.766723 IP BP-Linux8.ssh > 192.168.190.130.50019: Flags [P.], seq 144:252, ack 1, win 312, options [nop,nop,TS val 102917262 ecr 377952805], length 108"
"11:42:04.766744 IP BP-Linux8.ssh > 192.168.190.130.50019: Flags [P.], seq 252:288, ack 1, win 312, options [nop,nop,TS val 102917262 ecr 377952805], length 36"
"11:42:04.785366 IP 192.168.190.130.50019 > BP-Linux8.ssh: Flags [.], ack 108, win 7319, options [nop,nop,TS val 377953205 ecr 102917262], length 0"
"11:42:04.785384 IP 192.168.190.130.50019 > BP-Linux8.ssh: Flags [.], ack 144, win 7318, options [nop,nop,TS val 377953205 ecr 102917262], length 0"
"11:42:04.785406 IP 192.168.190.130.50019 > BP-Linux8.ssh: Flags [.], ack 252, win 7316, options [nop,nop,TS val 377953205 ecr 102917262], length 0"
"11:42:04.785454 IP 192.168.190.130.50019 > BP-Linux8.ssh: Flags [.], ack 288, win 7320, options [nop,nop,TS val 377953205 ecr 102917262], length 0"
